"sku";"manufacturer";"class";"model";"creation_date";"description";"weight";"warranty";"frame_material";"wheels_diameter";"number_speeds";"front_speed_selector";"rear_speed_selector";"crankset";"handlebar";"shifters";"cassette";"fork_type";"fork_move";"lockout";"brakes_type";"brakes_name";"tyres_type";"tyres_name";"pedals";"chain";"saddle"
"TRA-L-BLACK";"Fuji";"Гибридный";"Traverse 1.1";"2014";"Велосипед моей мечты!
";"12.00";"3 года.";"Алюминий";"28""";"30";"Shimano (LX)";"Shimano Deore XT";"Shimano (LX)";"OVAL";"Shimano (LX)";"Shimano (LX)";"Пружинно-масляная";"80 мм";"1";"Дисковые гидравлические";"Hayes Dual-Sport";"Грязевые";"VERA";"OVAL";"KMC X10";"OVAL"
"CROSS-ORANGE-L,CROSS-BLACK-L";"Specialized";"Гибридный";"Crosstrail Sport Disc";"2014";"Еще один неплохой велосипед.
";"14.00";"12 месяцев";"Алюминий";"28""";"27";"Shimano (M390)";"Shimano Acera";"Shimano Acera";"Specialized";"Shimano Acera";"Shimano Acera";"Пружинно-масляная";"63 мм";"1";"Дисковые гидравлические";"Tektro";"Грязевые";"Kenda";"Specialized";"KMC X9";"Specialized"
"84DS-L-GREY,84DS-L-WHITE";"Trek";"Гибридный";"8.4 DS";"2013";"Trek открывает новый стиль катания Dual Sport. Велосипеды Dual Sport созданы и разработаны Гари Фишером - отцом горных велосипедов. За базу взята рама от горных велосипедов с колесами 29 дюймов с использованием сплава Alpha Gold Aluminium. Модели Trek 8.1 DS, 8.2 DS, Trek 8.3 DS и Trek 8.4 DS с 28-ми дюймовыми колесами - это универсальные велосипеды для достижения большой скорости на дальних расстояниях и для использования в туризме. Они обладают скоростью дорожного велосипеда и прочностью горного. Покупайте ""два в одном"" и Вы будете первыми в Беларуси и одними из первых в мире, кто опробовал новый стиль.
";"12.80";"1 год.";"Алюминий";"28""";"27";"Shimano Alivio";"Shimano Deore";"Shimano Alivio M431";"Bontrager";"Shimano Alivio";"SRAM PG-950";"Пружинно-масляная";"63 мм";"1";"Дисковые гидравлические";"Hayes Dual-Sport";"Грязевые";"Kenda";"платформенные";"KMC X9";"Bontrager Evoke 1"
