"sku";"manufacturer";"class";"model";"creation_date";"description";"weight";"warranty";"frame_material";"wheels_diameter";"number_speeds";"front_speed_selector";"rear_speed_selector";"crankset";"handlebar";"shifters";"cassette";"fork_type";"fork_move";"lockout";"brakes_type";"brakes_name";"tyres_type";"tyres_name";"pedals";"chain";"saddle"
"TRA-S-BLACK";"Fuji";"Горный";"Traverse 1.1";"2014";"<p>Самый<br />лучший<br />велосипед!</p>";"12.00";"3 года.";"Алюминий";"28""";"30";"Shimano (LX)";"Shimano Deore XT";"Shimano (LX)";"OVAL";"Shimano (LX)";"Shimano (LX)";"Пружинно-масляная";"80 мм";"1";"Дисковые гидравлические";"Hayes Dual-Sport";"Грязевые";"VERA";"OVAL";"KMC X10";"OVAL"
"CROSS-BLACK-L";"Specialized";"Гибридный";"Crosstrail Sport Disc";"2014";"<p><p>Еще один неплохой велосипед.</p></p>";"14.00";"12 месяцев";"Алюминий";"28""";"27";"Shimano (M390)";"Shimano Acera";"Shimano Acera";"Specialized";"Shimano Acera";"Shimano Acera";"Пружинно-масляная";"63 мм";"1";"Дисковые гидравлические";"Tektro";"Грязевые";"Kenda";"Specialized";"KMC X9";"Specialized"
"84DS-L-WHITE";"Trek";"Гибридный";"8.4 DS";"2013";"<p><p>Trek открывает новый стиль катания Dual Sport. Велосипеды Dual Sport созданы и разработаны Гари Фишером - отцом горных велосипедов. За базу взята рама от горных велосипедов с колесами 29 дюймов с использованием сплава Alpha Gold Aluminium. Модели Trek 8.1 DS, 8.2 DS, Trek 8.3 DS и Trek 8.4 DS с 28-ми дюймовыми колесами - это универсальные велосипеды для достижения большой скорости на дальних расстояниях и для использования в туризме. Они обладают скоростью дорожного велосипеда и прочностью горного. Покупайте ""два в одном"" и Вы будете первыми в Беларуси и одними из первых в мире, кто опробовал новый стиль.</p></p>";"12.80";"1 год.";"Алюминий";"28""";"27";"Shimano Alivio";"Shimano Deore";"Shimano Alivio M431";"Bontrager";"Shimano Alivio";"SRAM PG-950";"Пружинно-масляная";"63 мм";"1";"Дисковые гидравлические";"Hayes Dual-Sport";"Грязевые";"Kenda";"платформенные";"KMC X9";"Bontrager Evoke 1"
"GT-Aval-Oran-M-2014,GT-Aval-Oran-L-2014";"GT";"Горный";"Avalanche Sport";"2014";"<p>Хороший велосипед GT</p>";"13.00";"10 лет";"Алюминий";"26""";"27";"Shimano Alivio (RD-M430)";"Shimano Alivio (RD-M430)";"SR Suntour XCM (T414)";"All Terra";"Shimano (SL-M370, Rapid Fire)";"Sunrace (CS-M90)";"Пружинно-масляная";"100 мм";"1";"Дисковые гидравлические";"Promax (Decipher Hydraulic Disc)";"Грязевые";"All Terra (MTB)";"GT Slim Line Flat Pedal";"KMC (Z99)";"All Terra (Tacoma)"
"KROSS-M-BL-2014,KROSS-XL-BL-2014";"Kross";"Горный";"Hexagon X9";"2014";"<p>Хороший велосипед Kross!</p>";"14.63";"10 лет";"Алюминий";"28""";"27";"Shimano Acera (M370)";"Shimano Deore (M592)";"SR Suntour XCM";"KROSS";"Shimano Altus (M370)";"Shimano (HG20-9)";"Пружинно-масляная";"100 мм";"1";"Дисковые гидравлические";"Shimano M395";"Грязевые";"Rubena";"Kross Pedal";"KMC (Z99)";"Selle Royal Mach (Custom)"
